"Certified"	"Certified-Expired"	"Denied"	"Withdrawn"
"Sensitivity"	0.717973012709511	1	0	0
"Specificity"	0.95132147175678	0.68099481623857	1	1
"Pos Pred Value"	0.939745124871707	0.697135589471356	NA	NA
"Neg Pred Value"	0.76133598761336	1	0.969421681891456	0.967927189682966
"Precision"	0.939745124871707	0.697135589471356	NA	NA
"Recall"	0.717973012709511	1	0	0
"F1"	0.81402455964883	0.82154377504806	NA	NA
"Prevalence"	0.513954191295003	0.42339468027942	0.0305783181085438	0.0320728103170339
"Detection Rate"	0.369005239118753	0.42339468027942	0	0
"Detection Prevalence"	0.392665233745298	0.607334766254702	0	0
"Balanced Accuracy"	0.834647242233145	0.840497408119285	0.5	0.5
