"Certified"	"Certified-Expired"	"Denied"	"Withdrawn"
"Sensitivity"	1	3.96605060680574e-05	0	0
"Specificity"	3.45482812230092e-05	1	1	1
"Pos Pred Value"	0.513962821783009	1	NA	NA
"Neg Pred Value"	1	0.576615002266964	0.969421681891456	0.967927189682966
"Precision"	0.51396282178301	1	NA	NA
"Recall"	1	3.96605060680574e-05	0	0
"F1"	0.6789635972404	7.93178663493952e-05	NA	NA
"Prevalence"	0.513954191295003	0.42339468027942	0.0305783181085438	0.0320728103170339
"Detection Rate"	0.513954191295003	1.67920472864052e-05	0	0
"Detection Prevalence"	0.999983207952714	1.67920472864052e-05	0	0
"Balanced Accuracy"	0.500017274140611	0.500019830253034	0.5	0.5
