"Certified"	"Certified-Expired"	"Denied"	"Withdrawn"
"Sensitivity"	0.831117064723756	0.897596573332276	0.176825919824272	0.0109947643979058
"Specificity"	0.849611331836241	0.806919447842041	0.998111932930315	0.999184622324
"Pos Pred Value"	0.853882044912893	0.77342628665163	0.74709976798144	0.308823529411762
"Neg Pred Value"	0.826316320016129	0.914757345658633	0.974645219126875	0.968243561293793
"Precision"	0.853882044912893	0.77342628665163	0.747099767981439	0.308823529411765
"Recall"	0.831117064723756	0.897596573332276	0.176825919824272	0.0109947643979058
"F1"	0.842345773038842	0.830898010132903	0.285968028419183	0.0212335692618807
"Prevalence"	0.513954191295003	0.42339468027942	0.0305783181085438	0.0320728103170339
"Detection Rate"	0.427156098871574	0.380037614185922	0.00540703922622246	0.000352632993014508
"Detection Prevalence"	0.500251880709296	0.491368887694788	0.00723737238044062	0.00114185921547555
"Balanced Accuracy"	0.840364198279999	0.852258010587158	0.587468926377294	0.505089693360953
